1,1/1/1981,20.7
2,1/2/1981,17.9
3,1/3/1981,18.8
4,1/4/1981,14.6
5,1/5/1981,15.8
6,1/6/1981,15.8
7,1/7/1981,15.8
8,1/8/1981,17.4
9,1/9/1981,21.8
10,1/10/1981,20
11,1/11/1981,16.2
12,1/12/1981,13.3
13,1/13/1981,16.7
14,1/14/1981,21.5
15,1/15/1981,25
16,1/16/1981,20.7
17,1/17/1981,20.6
18,1/18/1981,24.8
19,1/19/1981,17.7
20,1/20/1981,15.5
21,1/21/1981,18.2
22,1/22/1981,12.1
23,1/23/1981,14.4
24,1/24/1981,16
25,1/25/1981,16.5
26,1/26/1981,18.7
27,1/27/1981,19.4
28,1/28/1981,17.2
29,1/29/1981,15.5
30,1/30/1981,15.1
31,1/31/1981,15.4
32,2/1/1981,15.3
33,2/2/1981,18.8
34,2/3/1981,21.9
35,2/4/1981,19.9
36,2/5/1981,16.6
37,2/6/1981,16.8
38,2/7/1981,14.6
39,2/8/1981,17.1
40,2/9/1981,25
41,2/10/1981,15
42,2/11/1981,13.7
43,2/12/1981,13.9
44,2/13/1981,18.3
45,2/14/1981,22
46,2/15/1981,22.1
47,2/16/1981,21.2
48,2/17/1981,18.4
49,2/18/1981,16.6
50,2/19/1981,16.1
51,2/20/1981,15.7
52,2/21/1981,16.6
53,2/22/1981,16.5
54,2/23/1981,14.4
55,2/24/1981,14.4
56,2/25/1981,18.5
57,2/26/1981,16.9
58,2/27/1981,17.5
59,2/28/1981,21.2
60,3/1/1981,17.8
61,3/2/1981,18.6
62,3/3/1981,17
63,3/4/1981,16
64,3/5/1981,13.3
65,3/6/1981,14.3
66,3/7/1981,11.4
67,3/8/1981,16.3
68,3/9/1981,16.1
69,3/10/1981,11.8
70,3/11/1981,12.2
71,3/12/1981,14.7
72,3/13/1981,11.8
73,3/14/1981,11.3
74,3/15/1981,10.6
75,3/16/1981,11.7
76,3/17/1981,14.2
77,3/18/1981,11.2
78,3/19/1981,16.9
79,3/20/1981,16.7
80,3/21/1981,8.1
81,3/22/1981,8
82,3/23/1981,8.8
83,3/24/1981,13.4
84,3/25/1981,10.9
85,3/26/1981,13.4
86,3/27/1981,11
87,3/28/1981,15
88,3/29/1981,15.7
89,3/30/1981,14.5
90,3/31/1981,15.8
91,4/1/1981,16.7
92,4/2/1981,16.8
93,4/3/1981,17.5
94,4/4/1981,17.1
95,4/5/1981,18.1
96,4/6/1981,16.6
97,4/7/1981,10
98,4/8/1981,14.9
99,4/9/1981,15.9
100,4/10/1981,13
